skillid,skillname,category,reviewer,star,title,date,content
B01JFUHN0K,School Menus By Nutrislice,Local,Brad,2.0 out of 5 stars,challenging to set the school,"Reviewed in the United States on August 22, 2021","It would be great if there was a way to search online for the school.  I tried many times, but I was not able to get our school set."
B01JFUHN0K,School Menus By Nutrislice,Local,Jennie Logan,1.0 out of 5 stars,Unable to recognize school name,"Reviewed in the United States on August 28, 2018",Lists our school but doesn’t recognize when it is said
B01JFUHN0K,School Menus By Nutrislice,Local,Riva Ridge,5.0 out of 5 stars,Use it every day!,"Reviewed in the United States on December 12, 2017","My kids use this almost every day! Every once in a while, we have had to reset it (identify the school again), but that seems fairly typical with all things Alexa!"
B01JFUHN0K,School Menus By Nutrislice,Local,Doohy,3.0 out of 5 stars,Unable to understand school names,"Reviewed in the United States on December 27, 2017","Sounds like a great idea, but is unable to deal with certain words in school names.  My child's school has 2 word in the name, but the app stops listening after the first word.  I am saying the school name exactly as it is listed when I ask 'list schools' but it does not work.  It should at least soft match based on the word it understands."
B01JFUHN0K,School Menus By Nutrislice,Local,David,4.0 out of 5 stars,Have to use correct order of commands,"Reviewed in the United States on January 12, 2018",It works well but you have to use the correctOrder of commands and it takes more than one.  I use:“Alexa open school menus” then “what’s for lunch”If you don’t open the school menus first what’s for lunch doesn’t work.
B01JFUHN0K,School Menus By Nutrislice,Local,H. Panda,1.0 out of 5 stars,Cannot set school,"Reviewed in the United States on January 30, 2022","Pretty bad at recognizing schools. List schools says the wrong pronunciation and even if you repeat exactly, it still doesn't get it."
B01JFUHN0K,School Menus By Nutrislice,Local,J. Haynes,3.0 out of 5 stars,Works for the day,"Reviewed in the United States on November 4, 2018","You have to ask, “Alexa what’s for lunch at school” to open this skill. Although it has the correct district, it never recognizes the school and you have to tell it every day. It only gives you lunch for that day, it would be nice if you could ask for “tomorrow” or “Thursday.” Lunches for the day are accurate."
B01JFUHN0K,School Menus By Nutrislice,Local,Chad,1.0 out of 5 stars,Can’t find our district,"Reviewed in the United States on March 21, 2019",Cannot find our district. Our nutrislice district page told us about the still yet can’t find our school or district. This skill is garbage.
B01JFUHN0K,School Menus By Nutrislice,Local,Bboese,2.0 out of 5 stars,Only 1 school? Really?!?,"Reviewed in the United States on September 21, 2017","Considering I have 3 kids in 3 different schools, this ends up being pretty worthless. I guess I'll just use the app."
B01JFUHN0K,School Menus By Nutrislice,Local,Lynn,1.0 out of 5 stars,horrible,"Reviewed in the United States on February 8, 2022","I've been repeating the school name for over 5 minutes now. sometimes it things I've said FOX field, other times fogs VIEW. I'm saying FOXVIEW. why can it understand fox but only with field and view but only with fogs? it knows Foxview is one of the schools in my district, but it won't let me just choose the school that way. still have to say it and it won't understand it. ridiculous"
B01JFUHN0K,School Menus By Nutrislice,Local,iesusv,1.0 out of 5 stars,Can't make it work,"Reviewed in the United States on October 30, 2018",I was not able to make this skill work.  It would have been nice if there were a web page where i could configure it.  I finally got tired or telling Alexa to stop every time she misunderstood what i was trying to say.
B01JFUHN0K,School Menus By Nutrislice,Local,Anthony Masseur,1.0 out of 5 stars,Not as intuitive as you'd think and now Alexa doesnt find our school,"Reviewed in the United States on September 21, 2017","Not as simple as asking ""What's for lunch?"" Each time we have to ask ""what's for lunch?"" Alexa says she doesn't know would we like to use the skill, we respond yes, then have to go through several more prompts before we get the menu. Easier to just use the Nutriice App."
